Time,Open,High,Low,Latest,Change,%Change,Volume
10/08/2020,1.75,1.93,1.65,1.7,0.11,6.92%,12326609
11/08/2020,1.73,1.73,1.59,1.64,-0.06,-3.53%,4955338
12/08/2020,1.62,1.62,1.5,1.56,-0.08,-4.88%,3745215
13/08/2020,1.62,1.635,1.555,1.565,0.005,0.32%,1733689
14/08/2020,1.59,1.69,1.59,1.675,0.11,7.03%,2564824
17/08/2020,1.71,1.745,1.655,1.68,0.005,0.30%,1691372
18/08/2020,1.71,1.735,1.67,1.68,0,0.00%,1958889
19/08/2020,1.715,1.715,1.65,1.67,-0.01,-0.60%,1577966
20/08/2020,1.675,1.69,1.655,1.655,-0.015,-0.90%,994386
21/08/2020,1.68,1.695,1.63,1.64,-0.015,-0.91%,1149699
24/08/2020,1.65,1.65,1.585,1.625,-0.015,-0.91%,822435
25/08/2020,1.615,1.615,1.57,1.585,-0.04,-2.46%,676269
26/08/2020,1.575,1.575,1.475,1.52,-0.065,-4.10%,1297113
27/08/2020,1.53,1.53,1.39,1.405,-0.115,-7.57%,2143205
28/08/2020,1.39,1.48,1.32,1.47,0.065,4.63%,3227598
31/08/2020,1.49,1.5,1.475,1.485,0.015,1.02%,449573
1/09/2020,1.485,1.5,1.43,1.44,-0.045,-3.03%,514724
2/09/2020,1.45,1.545,1.45,1.53,0.09,6.25%,493632
3/09/2020,1.55,1.56,1.48,1.52,-0.01,-0.65%,301408
4/09/2020,1.46,1.485,1.425,1.46,-0.06,-3.95%,459016
7/09/2020,1.5,1.53,1.48,1.48,0.02,1.37%,224332
8/09/2020,1.485,1.51,1.445,1.445,-0.035,-2.36%,463543
9/09/2020,1.45,1.45,1.395,1.43,-0.015,-1.04%,481775
10/09/2020,1.465,1.47,1.42,1.45,0.02,1.40%,168876
11/09/2020,1.47,1.49,1.43,1.46,0.01,0.69%,267932
14/09/2020,1.46,1.555,1.445,1.555,0.095,6.51%,625289
15/09/2020,1.59,1.6,1.53,1.54,-0.015,-0.96%,298666
16/09/2020,1.58,1.595,1.555,1.58,0.04,2.60%,165808
17/09/2020,1.595,1.65,1.58,1.59,0.01,0.63%,688454
18/09/2020,1.625,1.625,1.55,1.59,0,0.00%,153096
21/09/2020,1.6,1.6,1.565,1.57,-0.02,-1.26%,255856
22/09/2020,1.595,1.595,1.53,1.56,-0.01,-0.64%,334712
23/09/2020,1.57,1.61,1.57,1.59,0.03,1.92%,257827
24/09/2020,1.595,1.595,1.55,1.55,-0.04,-2.52%,244801
25/09/2020,1.56,1.58,1.535,1.535,-0.015,-0.97%,193667
28/09/2020,1.53,1.555,1.51,1.515,-0.02,-1.30%,240041
29/09/2020,1.51,1.53,1.51,1.525,0.01,0.66%,100172
