Time,Open,High,Low,Latest,Change,%Change,Volume
5/01/2000,25.491,25.53,25.25,25.35,-0.58,-2.24%,2179475
6/01/2000,25.5,25.5,24.8,24.85,-0.5,-1.97%,1497418
7/01/2000,25.048,25.25,24.87,25.1,0.25,1.01%,1406421
10/01/2000,25.5,25.76,25.45,25.7,0.6,2.39%,1388935
11/01/2000,25.67,25.69,25.22,25.285,-0.415,-1.61%,2094137
12/01/2000,25.192,25.6,25.15,25.45,0.165,0.65%,1765495
13/01/2000,25.45,25.65,25.14,25.25,-0.2,-0.79%,1933586
14/01/2000,25.348,25.65,25.28,25.583,0.333,1.32%,1236621
17/01/2000,25.7,25.95,25.58,25.89,0.307,1.20%,1491387
18/01/2000,25.85,25.9,25.6,25.814,-0.076,-0.29%,3123148
19/01/2000,25.6,25.6,25.3,25.3,-0.514,-1.99%,1160574
20/01/2000,25.349,25.64,25.29,25.6,0.3,1.19%,2137458
21/01/2000,25.398,25.55,25.398,25.53,-0.07,-0.27%,959618
24/01/2000,25.54,25.89,25.54,25.6,0.07,0.27%,1153046
25/01/2000,25.28,25.5,25.25,25.45,-0.15,-0.59%,1384692
27/01/2000,25.4,25.95,25.4,25.87,0.42,1.65%,1642766
28/01/2000,25.88,26.55,25.88,26.26,0.39,1.51%,6858972
31/01/2000,25.897,26.2,25.8,26.1,-0.16,-0.61%,669288
1/02/2000,26.1,26.15,25.6,25.666,-0.434,-1.66%,967740
2/02/2000,25.66,25.9,25.5,25.654,-0.012,-0.05%,1076932
3/02/2000,25.591,25.591,25.09,25.2,-0.454,-1.77%,2343854
4/02/2000,25.2,25.9,25.2,25.56,0.36,1.43%,1084880
7/02/2000,25.5,25.96,25.45,25.67,0.11,0.43%,1026359
8/02/2000,25.67,25.77,25.45,25.546,-0.124,-0.48%,994818
9/02/2000,25.6,25.95,25.37,25.8,0.254,0.99%,1782840
10/02/2000,25.7,26.25,25.7,26.147,0.347,1.34%,3782741
11/02/2000,26,26.78,26,26.506,0.359,1.37%,1753440
14/02/2000,26.2,26.81,26.2,26.606,0.1,0.38%,1991405
15/02/2000,26.716,27.15,26.716,27.15,0.544,2.04%,3180361
16/02/2000,27.15,27.5,26.8,26.88,-0.27,-0.99%,2263673
17/02/2000,26.9,27,26.9,27,0.12,0.45%,15000
18/02/2000,26.1,26.3,25.9,26.165,-0.835,-3.09%,1309266
21/02/2000,25.082,26.21,25.082,25.81,-0.355,-1.36%,1392290
22/02/2000,25.7,26.15,25.7,26.064,0.254,0.98%,1228309
23/02/2000,26,26.32,26,26.18,0.116,0.45%,1503365
24/02/2000,26,26.21,25.8,26.008,-0.172,-0.66%,1342029
25/02/2000,25.594,26.15,25.594,25.97,-0.038,-0.15%,1971472
28/02/2000,25.708,25.8,25.22,25.235,-0.735,-2.83%,1688552
29/02/2000,25.5,25.5,24.94,24.992,-0.243,-0.96%,1526921
1/03/2000,25,25.99,24.75,25.8,0.808,3.23%,1666522
2/03/2000,25.8,25.8,25.35,25.65,-0.15,-0.58%,1326973
3/03/2000,25.5,25.55,24.89,25.241,-0.409,-1.59%,1957712
7/03/2000,24.692,24.99,24.6,24.7,-0.541,-2.14%,2213714
9/03/2000,24.7,24.7,22.5,22.6,-2.1,-8.50%,0
10/03/2000,22.6,23.48,22.49,23,0.4,1.77%,7317351
13/03/2000,23.1,23.4,22.97,23.12,0.12,0.52%,2658806
14/03/2000,23.1,23.49,23.05,23.1,-0.02,-0.09%,1765014
15/03/2000,23.1,23.55,23.02,23.51,0.41,1.77%,1917287
16/03/2000,23.89,23.9,23.3,23.303,-0.207,-0.88%,1609048
17/03/2000,23.691,23.691,23,23,-0.303,-1.30%,2457224
20/03/2000,23,23.09,22.87,22.99,-0.01,-0.04%,2078932
21/03/2000,23,23,22.61,22.67,-0.32,-1.39%,1786816
22/03/2000,22.8,22.88,22.65,22.66,-0.01,-0.04%,2212014
23/03/2000,22.778,22.85,22.45,22.55,-0.11,-0.49%,1969179
24/03/2000,22.55,22.69,22.36,22.629,0.079,0.35%,3021354
27/03/2000,22.7,22.99,22.59,22.724,0.095,0.42%,1542328
28/03/2000,22.7,22.76,22.6,22.75,0.026,0.11%,1485339
29/03/2000,22.75,22.83,22.62,22.7,-0.05,-0.22%,1696311
30/03/2000,22.771,22.771,22.62,22.656,-0.044,-0.19%,903722
31/03/2000,22.608,22.7,22.45,22.54,-0.116,-0.51%,2541981
3/04/2000,22.54,23.12,22.54,23.002,0.462,2.05%,1340764
4/04/2000,23.349,23.74,23.2,23.66,0.658,2.86%,1695648
5/04/2000,23.8,24.48,23.8,24.28,0.62,2.62%,2396935
6/04/2000,24,24.2,23.94,24.08,-0.2,-0.82%,1923957
7/04/2000,24.009,24.1,23.5,23.77,-0.31,-1.29%,1850905
10/04/2000,23.8,23.8,23.38,23.45,-0.32,-1.35%,1311876
11/04/2000,23.44,24.1,23.37,23.8,0.35,1.49%,2273257
12/04/2000,23.909,24.35,23.9,24.274,0.474,1.99%,3046459
13/04/2000,24.35,25.15,24.35,24.97,0.696,2.87%,5375128
14/04/2000,24.549,25.62,24.549,25.6,0.63,2.52%,3042835
17/04/2000,24.636,25.11,24.55,24.895,-0.705,-2.75%,2172938
18/04/2000,25.2,25.9,25.2,25.874,0.979,3.93%,3439461
19/04/2000,25.9,26.21,25.9,26.15,0.276,1.07%,2003147
20/04/2000,25.944,26.1,25.9,26.071,-0.079,-0.30%,868419
26/04/2000,26.3,26.63,26.15,26.6,0.529,2.03%,3105517
27/04/2000,26.448,26.6,26.4,26.51,-0.09,-0.34%,2198413
28/04/2000,26.337,26.5,26,26.08,-0.43,-1.62%,10934020
1/05/2000,25.881,26.2,25.8,26.073,-0.007,-0.03%,1387822
2/05/2000,26.031,26.17,26,26,-0.073,-0.28%,1245118
3/05/2000,25.9,25.92,25.61,25.7,-0.3,-1.15%,1154857
4/05/2000,25.35,25.65,25.2,25.6,-0.1,-0.39%,1692667
5/05/2000,25.552,26.36,25.552,26.302,0.702,2.74%,1141341
8/05/2000,26.267,26.55,26.15,26.431,0.129,0.49%,1458021
9/05/2000,26.268,27.37,26.268,27.35,0.919,3.48%,4261479
10/05/2000,27.2,27.52,27.1,27.287,-0.063,-0.23%,3068243
11/05/2000,27.055,27.1,26.7,26.8,-0.487,-1.78%,2430890
12/05/2000,26.8,26.9,26.45,26.6,-0.2,-0.75%,1712006
15/05/2000,26.5,26.78,26.4,26.75,0.15,0.56%,973620
16/05/2000,26.8,27.03,26.7,26.85,0.1,0.37%,949929
17/05/2000,26.85,27.15,26.73,27.1,0.25,0.93%,3070528
18/05/2000,27.2,28.05,27.2,27.35,0.25,0.92%,4834002
19/05/2000,27.31,27.95,27.31,27.744,0.394,1.44%,3498918
22/05/2000,27.449,28,27.3,27.95,0.206,0.74%,2155337
23/05/2000,28,28.05,27.65,27.891,-0.059,-0.21%,3289518
24/05/2000,27.593,28,27.593,27.9,0.009,0.03%,2857526
25/05/2000,27.95,28.01,27.35,27.35,-0.55,-1.97%,2929391
26/05/2000,27.056,27.65,27.056,27.45,0.1,0.37%,7377790
29/05/2000,27.4,28,27.4,27.95,0.5,1.82%,2868349
30/05/2000,28,28.25,27.7,27.844,-0.106,-0.38%,3621233
31/05/2000,28.1,28.2,27.45,27.881,0.037,0.13%,22185840
1/06/2000,27.4,27.45,26.78,27.129,-0.752,-2.70%,4649693
2/06/2000,27,27.3,27,27.08,-0.049,-0.18%,2382489
5/06/2000,27.438,27.438,27.02,27.14,0.06,0.22%,2545585
6/06/2000,27.148,27.65,27.07,27.5,0.36,1.33%,1964760
7/06/2000,27.209,27.5,27.2,27.25,-0.25,-0.91%,1345765
8/06/2000,27.24,27.24,26.85,26.95,-0.3,-1.10%,3307615
9/06/2000,26.895,26.895,26.51,26.7,-0.25,-0.93%,2600136
13/06/2000,26.55,26.7,26.29,26.54,-0.16,-0.60%,2635724
14/06/2000,26.5,26.5,26.1,26.18,-0.36,-1.36%,3272325
15/06/2000,26.25,26.63,26.15,26.605,0.425,1.62%,2567497
16/06/2000,26.473,26.81,26.36,26.8,0.195,0.73%,3021820
19/06/2000,26.541,26.7,26.45,26.6,-0.2,-0.75%,1387615
20/06/2000,26.55,27,26.55,26.92,0.32,1.20%,2344131
21/06/2000,26.85,27.01,26.76,26.943,0.023,0.09%,1583220
22/06/2000,26.849,26.85,26.54,26.58,-0.363,-1.35%,2719048
23/06/2000,26.525,26.7,26.35,26.649,0.069,0.26%,3196624
26/06/2000,26.65,27.15,26.65,27.15,0.501,1.88%,6390431
27/06/2000,27.243,27.48,27.15,27.442,0.292,1.08%,3206735
28/06/2000,27.383,27.85,27.35,27.5,0.058,0.21%,3365703
29/06/2000,27.45,27.45,27.12,27.3,-0.2,-0.73%,3621634
30/06/2000,27.209,27.73,27.209,27.69,0.39,1.43%,9749531
3/07/2000,27.3,27.45,27.15,27.19,-0.5,-1.81%,3749380
4/07/2000,27.2,27.5,27.2,27.47,0.28,1.03%,2277448
5/07/2000,27.4,27.65,27.32,27.6,0.13,0.47%,2962512
6/07/2000,27.409,27.58,27.35,27.36,-0.24,-0.87%,3037767
7/07/2000,27.35,27.5,27.07,27.166,-0.194,-0.71%,2593123
10/07/2000,27.3,27.65,27.25,27.5,0.334,1.23%,2187191
11/07/2000,27.5,27.65,27.4,27.65,0.15,0.55%,1698068
12/07/2000,27.7,27.7,27.47,27.62,-0.03,-0.11%,3047574
13/07/2000,27.65,27.93,27.65,27.75,0.13,0.47%,3336821
14/07/2000,27.743,27.75,27.32,27.595,-0.155,-0.56%,4844413
17/07/2000,27.412,27.92,27.35,27.85,0.255,0.92%,1467613
18/07/2000,27.75,27.95,27.71,27.815,-0.035,-0.13%,1559160
19/07/2000,27.649,27.95,27.649,27.7,-0.115,-0.41%,1272851
20/07/2000,27.58,27.9,27.58,27.852,0.152,0.55%,1123308
21/07/2000,28,28.12,27.85,28.02,0.168,0.60%,3298512
24/07/2000,27.988,28.1,27.92,27.99,-0.03,-0.11%,1628242
25/07/2000,27.84,28.2,27.83,28.14,0.15,0.54%,1961178
26/07/2000,28.017,28.25,28.017,28.07,-0.07,-0.25%,2418940
27/07/2000,27.99,28.06,27.85,27.97,-0.1,-0.36%,2958419
28/07/2000,27.958,28.08,27.88,27.989,0.019,0.07%,15150780
31/07/2000,27.84,28,27.7,27.796,-0.193,-0.69%,1457178
1/08/2000,27.845,27.85,27.68,27.8,0.004,0.01%,1601213
2/08/2000,27.638,27.86,27.6,27.82,0.02,0.07%,1348286
3/08/2000,27.82,27.85,27.64,27.73,-0.09,-0.32%,1146156
4/08/2000,27.7,27.7,27.48,27.5,-0.23,-0.83%,1638141
7/08/2000,27.5,27.91,27.41,27.85,0.35,1.27%,1234580
8/08/2000,27.85,27.9,27.62,27.653,-0.197,-0.71%,1555789
9/08/2000,27.631,27.88,27.5,27.85,0.197,0.71%,1441939
