Time,Open,High,Low,Latest,Change,%Change,Volume
2001-08-27,173.39,173.82,172.89,173.06,-0.17,-0.10%,0
2001-08-28,172.95,174.98,172.73,174.46,1.4,+0.81%,0
2001-08-29,174.37,174.69,172.81,174.35,-0.11,-0.06%,0
2001-08-30,174.36,174.45,173.23,174.05,-0.3,-0.17%,0
2001-08-31,174.03,174.17,171.87,172.69,-1.36,-0.78%,0
2001-09-03,172.95,173.19,172.19,172.67,-0.02,-0.01%,0
2001-09-04,172.49,173.02,171.6,172.31,-0.36,-0.21%,0
2001-09-05,172.41,176.08,172.11,175.91,3.6,+2.09%,0
2001-09-06,175.84,176.82,175.15,176.12,0.21,+0.12%,0
2001-09-07,176.05,176.83,175.02,175.4,-0.72,-0.41%,0
2001-09-10,175.45,176.97,175.06,176.42,1.02,+0.58%,0
2001-09-11,176.14,178.01,175.36,176.11,-0.31,-0.18%,0
2001-09-12,176.5,176.67,174.51,175.46,-0.65,-0.37%,0
2001-09-13,175.44,175.7,174.19,174.96,-0.5,-0.28%,0
2001-09-14,174.87,175.46,171.69,172.82,-2.14,-1.22%,0
2001-09-17,172.91,174.64,171.5,172.78,-0.04,-0.02%,0
2001-09-18,172.55,173.76,171.35,172.15,-0.63,-0.36%,0
2001-09-19,172.25,173.12,171.65,172.71,0.56,+0.33%,0
2001-09-20,172.69,172.75,169.57,170.55,-2.16,-1.25%,0
2001-09-21,170.52,171.79,169.1,169.89,-0.66,-0.39%,0
2001-09-24,170.11,172.22,169.19,172.01,2.12,+1.25%,0
2001-09-25,171.96,173.19,170.88,172.78,0.77,+0.45%,0
2001-09-26,172.94,174.22,172.32,173.68,0.9,+0.52%,0
2001-09-27,173.68,176.92,173.48,176.5,2.82,+1.62%,0
2001-09-28,176.44,176.54,174.3,176.28,-0.22,-0.12%,0
2001-10-01,175.79,178.04,175.68,177.81,1.53,+0.87%,0
2001-10-02,177.78,178.93,176.41,177.48,-0.33,-0.19%,0
2001-10-03,177.37,179.01,176.71,178.18,0.7,+0.39%,0
2001-10-04,178.18,178.36,176.77,177.97,-0.21,-0.12%,0
2001-10-05,177.81,178.91,177.27,178.91,0.94,+0.53%,0
2001-10-08,178.7,178.7,176.24,176.75,-2.16,-1.21%,0
2001-10-09,176.65,177.07,174.81,175.13,-1.62,-0.92%,0
2001-10-10,175.13,175.9,173.87,174.77,-0.36,-0.21%,0
2001-10-11,174.65,175.71,174.22,175.41,0.64,+0.37%,0
2001-10-12,175.42,176.3,175.16,176.01,0.6,+0.34%,0
2001-10-15,175.36,176.08,174.66,175.13,-0.88,-0.50%,0
2001-10-16,175.04,176.06,174.56,175.72,0.59,+0.34%,0
2001-10-17,175.61,176.21,175.13,175.54,-0.18,-0.10%,0
2001-10-18,175.41,175.65,174.34,174.79,-0.75,-0.43%,0
2001-10-19,174.81,175.1,173.54,173.65,-1.14,-0.65%,0
